2025-10-24 11:21:36.516 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.517 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.518 [Debug] [Hook] TM:PE priority sign query | nodeId=31668 segmentId=23450 signType=None
2025-10-24 11:21:36.518 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.519 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.519 [Debug] [Hook] TM:PE priority sign query | nodeId=31668 segmentId=35377 signType=None
2025-10-24 11:21:36.520 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.520 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.521 [Debug] [Hook] TM:PE priority sign query | nodeId=6953 segmentId=35377 signType=None
2025-10-24 11:21:36.521 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.522 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.522 [Debug] [Hook] TM:PE priority sign query | nodeId=6953 segmentId=34222 signType=None
2025-10-24 11:21:36.523 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.523 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.524 [Debug] [Hook] TM:PE priority sign query | nodeId=2924 segmentId=12051 signType=None
2025-10-24 11:21:36.524 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.524 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.525 [Debug] [Hook] TM:PE priority sign query | nodeId=2924 segmentId=35403 signType=None
2025-10-24 11:21:36.525 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.525 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
