2025-10-24 11:52:22.972 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.973 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.974 [Debug] [Hook] TM:PE priority sign query | nodeId=19916 segmentId=16084 signType=None
2025-10-24 11:52:22.976 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.977 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.978 [Debug] [Hook] TM:PE priority sign query | nodeId=19916 segmentId=624 signType=None
2025-10-24 11:52:22.979 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.980 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.982 [Debug] [Hook] TM:PE priority sign query | nodeId=15065 segmentId=16087 signType=None
2025-10-24 11:52:22.983 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.984 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.984 [Debug] [Hook] TM:PE priority sign query | nodeId=15065 segmentId=4450 signType=None
2025-10-24 11:52:22.985 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.986 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.986 [Debug] [Hook] TM:PE priority sign query | nodeId=19517 segmentId=35518 signType=None
2025-10-24 11:52:22.988 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.988 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.989 [Debug] [Hook] TM:PE priority sign query | nodeId=19517 segmentId=16087 signType=None
2025-10-24 11:52:22.989 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.991 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.992 [Debug] [Hook] TM:PE priority sign query | nodeId=7441 segmentId=9224 signType=None
2025-10-24 11:52:22.994 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.995 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.996 [Debug] [Hook] TM:PE priority sign query | nodeId=7441 segmentId=16095 signType=None
2025-10-24 11:52:22.998 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.999 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:23.000 [Debug] [Hook] TM:PE priority sign query | nodeId=27045 segmentId=16095 signType=None
2025-10-24 11:52:23.001 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:23.002 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:23.003 [Debug] [Hook] TM:PE priority sign query | nodeId=27045 segmentId=18687 signType=None
